Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,popularity_score
The Square,"Novotel Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Asian",4.2,52,2500,24.057265909165437
Bindaas Rasoi,"Sholinganallur, South West Chennai", South West Chennai,Chennai,"North Indian,  Seafood",4.3,571,1200,39.38744674814707
NICO Asian Bar & Cafe,"Novotel Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,Continental,3.8,7,1500,11.399999999999999
Hola,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,161,1200,30.093385011826957
Delhi Dhaba,"Akkarai, South Chennai", South Chennai,Chennai,"North Indian,  Chinese,  Seafood",3.3,9,800,10.962362713128295
Guntur Gongura,"Sholinganallur, South West Chennai", South West Chennai,Chennai,"Andhra,  Biryani,  North Indian,  Chinese",3.6,11,500,12.905865002596162
Dot Yum,"Aloft Chennai,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Italian",3.9,131,1600,27.47313706549797
W xyz,"Aloft Chennai,Sholinganallur, South West Chennai", South West Chennai,Chennai,Finger Food,3.9,17,1600,16.262707505625016
Dindigul Thalappakatti,"Selaiyur, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.1,25,700,19.271802844378477
Prive Restaurant,"East Coast Road, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  European,  Oriental ,  Street Food,  Fast Food",4.4,97,1200,29.10472331410692
Dindigul Thalappakatti,"Tambaram West, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.7,24,700,17.18226790216648
Dindigul Thalappakatti,"Poonamallee, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.0,12,700,14.801758872564369
Sauce O Cheese,"Selaiyur, South Chennai", South Chennai,Chennai,Fast Food,3.4,7,400,10.2
The Eatery,"Four Points by Sheraton Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,"North Indian,  Continental,  Oriental ",3.7,29,1600,18.15549520375152
Madras Coffee House,"Tambaram East, South West Chennai", South West Chennai,Chennai,"Street Food,  Coffee,  Desserts",4.6,2,200,7.290827503317318
Onesta,"Tech Pump Towers,Semmencherry, South West Chennai", South West Chennai,Chennai,"Italian,  Pizza,  Desserts",4.2,76,700,26.320503470918585
Mascarpone Cafe,"Uthandi, South Chennai", South Chennai,Chennai,"Italian,  Continental,  Thai,  Seafood",4.2,155,1200,30.598689319221446
Gossip Fusion Bistro & Dessert Bar,"Uthandi, South Chennai", South Chennai,Chennai,"Italian,  Continental,  Seafood,  North Indian,  South Indian",4.5,129,1500,31.600655158628044
Tosai,"East Coast Road, South Chennai", South Chennai,Chennai,"North Indian,  South Indian,  Chinese",4.0,15,500,16.0
